model_name,model_type,horiz_res_deg,vert_levels,time_step_h,sypd,hardware,hardware_count,accelerators_per_node_assumed,n_accelerators,prognostic_vars,number_param,source,Comments,sypd/(n_accelerators*n_prog*n_lev),T,dx^2 * dt,n_prognostic*n_lev/((dx)^2),n_prognostic*n_lev/(dt*(dx)^2)
CliMA,hybrid,0.07,43,0.01111111111,0.073,Derecho node (four NVIDIA A100 GPUs and 40 GB of memory per GPU),256,4,1024,12,0,https://essopenarchive.org/users/891100/articles/1268069-the-climate-modeling-alliance-atmosphere-dynamical-core-concepts-numerics-and-scaling,,1.38E-07,3.68E-02,0.00005444444444,105306.1224,9477551.02
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,0,,
NeuralGCM,hybrid,2.8,32,0.2,958.2477755,TPU v4,16,1,16,7,14500000,https://www.nature.com/articles/s41586-024-07744-y/tables/1,,2.67E-01,1.34E+04,1.568,28.57142857,142.8571429
NeuralGCM,hybrid,1.4,32,0.1,188.9117043,TPU v4,16,1,16,7,18300000,https://www.nature.com/articles/s41586-024-07744-y/tables/1,,5.27E-02,2.64E+03,0.196,114.2857143,1142.857143
NeuralGCM,hybrid,0.7,32,0.0625,19.98631075,TPU v4,256,1,256,7,31100000,https://www.nature.com/articles/s41586-024-07744-y/tables/1,,3.49E-04,1.75E+01,0.030625,457.1428571,7314.285714
R2-D2,downscaling,0.1,1,1,2.245037645,H100,1,1,1,6,180000000,https://www.pnas.org/doi/10.1073/pnas.2420288122,as well as Ignacio Lopez Correspondence,3.74E-01,1.35E+01,0.01,600,600
GenFocal,downscaling,0.25,1,2,7.542778919,H100+TPUv5e,2,1,2,4,0,https://arxiv.org/abs/2412.08079,as well as Ignacio Lopez Correspondence,9.43E-01,1.51E+01,0.125,64,32
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,0,,
ICON_A_GPU,trad_cpu,0.05,191,0.01111111111,0.04024640657,"Levante node (2×Milan CPU per compute node, 16 MPI processes per CPU, 4 OMP threads per process)",128,0,0,9,0,https://gmd.copernicus.org/articles/15/6985/2022/gmd-15-6985-2022.html,,,,,,
ICON_A_GPU,trad_cpu,0.05,191,0.01111111111,0.07885010267,"Levante node (2×Milan CPU per compute node, 16 MPI processes per CPU, 4 OMP threads per process)",256,0,0,9,0,https://gmd.copernicus.org/articles/15/6985/2022/gmd-15-6985-2022.html,,,,,,
ICON_A_GPU,trad_cpu,0.05,191,0.01111111111,0.1546885695,"Levante node (2×Milan CPU per compute node, 16 MPI processes per CPU, 4 OMP threads per process)",512,0,0,9,0,https://gmd.copernicus.org/articles/15/6985/2022/gmd-15-6985-2022.html,,,,,,
ICON_A_GPU,trad_cpu,0.05,191,0.01111111111,0.2839151266,"Levante node (2×Milan CPU per compute node, 16 MPI processes per CPU, 4 OMP threads per process)",1024,0,0,9,0,https://gmd.copernicus.org/articles/15/6985/2022/gmd-15-6985-2022.html,,,,,,
